BUBBLESORT,BUBBLESORT_OT,SELECTIONSORT,SELECTIONSORT_OT,INSERTIONSORT,RADIXSORT
2.17632e+008,1.42762e+008,7.6591e+007,6.9e+007,6.4076e+007,5.9999e+007
2.23735e+008,1.39752e+008,7.7641e+007,6.7999e+007,6.2e+007,5.9e+007
2.21096e+008,1.43283e+008,9.1e+007,6.6094e+007,6.4079e+007,5.9367e+007
2.21094e+008,1.42403e+008,7.7e+007,6.5071e+007,6.4001e+007,5.9999e+007
2.18609e+008,1.43771e+008,7.679e+007,6.8072e+007,6.2004e+007,6.1005e+007
2.23288e+008,1.43267e+008,8.0995e+007,6.8e+007,6.3202e+007,5.9259e+007
2.30447e+008,1.45164e+008,7.9223e+007,6.8072e+007,6.3062e+007,6.1e+007
2.26999e+008,1.46999e+008,7.9e+007,7.2001e+007,6.3056e+007,5.971e+007
2.21114e+008,1.44067e+008,7.7e+007,6.6997e+007,6.3001e+007,6e+007
2.25001e+008,1.45004e+008,8.0026e+007,6.769e+007,6.2999e+007,6.0999e+007
2.22e+008,1.43e+008,7.8e+007,6.7003e+007,6.3999e+007,6e+007
2.20791e+008,1.44999e+008,7.9049e+007,6.6002e+007,6.3001e+007,6e+007
2.20901e+008,1.44999e+008,7.9092e+007,6.7112e+007,6.1998e+007,6.0025e+007
2.23334e+008,1.45e+008,8.0999e+007,6.9001e+007,6.2999e+007,5.9999e+007
2.17139e+008,1.44003e+008,7.6734e+007,6.5029e+007,6.3004e+007,5.9523e+007
2.22e+008,1.42626e+008,7.6711e+007,6.6079e+007,6.4999e+007,6e+007
2.19001e+008,1.43e+008,7.7e+007,6.8001e+007,6.1105e+007,5.9729e+007
2.16915e+008,1.42594e+008,7.858e+007,6.7106e+007,6.2e+007,5.9059e+007
2.18818e+008,1.41097e+008,7.7074e+007,6.6158e+007,6.109e+007,6.0059e+007
2.21589e+008,1.4266e+008,7.7e+007,6.8e+007,6.4001e+007,5.9e+007
2.19105e+008,1.43009e+008,7.7999e+007,6.6999e+007,6.4e+007,6.0005e+007
2.19001e+008,1.43088e+008,7.8112e+007,6.6001e+007,6.3342e+007,6.161e+007
2.20613e+008,1.50326e+008,7.7073e+007,6.6223e+007,6.2001e+007,6.1002e+007
2.24508e+008,1.42203e+008,7.9288e+007,6.6e+007,6.2036e+007,5.9613e+007
2.18779e+008,1.42078e+008,7.6666e+007,6.7227e+007,6.1e+007,6.1224e+007
2.17224e+008,1.41066e+008,7.7601e+007,6.6213e+007,6.0987e+007,6.0001e+007
2.23373e+008,1.41559e+008,7.7597e+007,6.6999e+007,6.3e+007,6.1e+007
2.19867e+008,1.43128e+008,7.8699e+007,6.8999e+007,6.1e+007,6.1001e+007
2.213e+008,1.43192e+008,7.8069e+007,6.7142e+007,6.2998e+007,6.1e+007
2.32367e+008,1.46115e+008,7.9209e+007,6.9039e+007,6.288e+007,5.9991e+007
2.23307e+008,1.45e+008,7.9103e+007,6.6999e+007,6.3e+007,5.9593e+007
2.20995e+008,1.45057e+008,8.4998e+007,6.8103e+007,6.4225e+007,6.1e+007
2.22768e+008,1.42582e+008,8.5e+007,6.6995e+007,6.4081e+007,5.905e+007
2.2417e+008,1.4445e+008,7.8071e+007,6.6154e+007,6.252e+007,6.0145e+007
2.21679e+008,1.44001e+008,7.8203e+007,6.7e+007,7.3002e+007,7.2999e+007
2.23655e+008,1.47177e+008,7.9065e+007,6.7001e+007,6.2101e+007,6.0999e+007
2.2321e+008,1.45065e+008,7.807e+007,6.8577e+007,6.3535e+007,6.2e+007
2.22241e+008,1.45054e+008,7.9227e+007,6.829e+007,6.2539e+007,5.9999e+007
2.2221e+008,1.44646e+008,7.9029e+007,6.7e+007,6.2996e+007,6.2046e+007
2.22058e+008,1.44117e+008,7.8e+007,6.8999e+007,6.4e+007,6.1087e+007
