TEMPO_CRIACAO,BUBBLESORT,BUBBLESORT_OT,SELECTIONSORT,SELECTIONSORT_OT,INSERTIONSORT,RADIXSORT
78900120,2.29738e+08,1.84023e+08,9.02902e+07,7.95745e+07,7.06894e+07,7.62979e+07
78238048,2.26962e+08,1.8287e+08,9.11133e+07,8.00649e+07,6.97492e+07,7.76989e+07
79723077,2.52009e+08,1.85393e+08,8.94464e+07,8.20208e+07,6.86609e+07,1.0538e+08
82919313,2.25054e+08,1.79623e+08,8.82591e+07,8.37732e+07,6.87095e+07,7.63861e+07
74327190,2.28008e+08,1.80469e+08,8.46854e+07,8.49111e+07,7.10952e+07,7.74198e+07
72429202,2.26811e+08,1.81006e+08,8.57771e+07,8.204e+07,6.79534e+07,8.76062e+07
82785019,2.42783e+08,1.8052e+08,8.53885e+07,8.37261e+07,6.94991e+07,7.70997e+07
81729419,2.44766e+08,1.88216e+08,8.67475e+07,8.19491e+07,8.79218e+07,7.56902e+07
72765531,2.27688e+08,1.82857e+08,8.3858e+07,7.99832e+07,7.33768e+07,7.4898e+07
73564709,2.28863e+08,1.91916e+08,8.59438e+07,8.56012e+07,6.78725e+07,7.52055e+07
76628756,2.55634e+08,1.86869e+08,8.36162e+07,8.21472e+07,7.03186e+07,7.57032e+07
92994607,2.27003e+08,1.88744e+08,8.48393e+07,8.5599e+07,7.28878e+07,7.86194e+07
78976771,2.26009e+08,1.89212e+08,1.03162e+08,7.82815e+07,7.27845e+07,7.35711e+07
77232343,2.25168e+08,1.84097e+08,8.4945e+07,7.98643e+07,7.4154e+07,7.37992e+07
76118197,2.44413e+08,1.86714e+08,8.66753e+07,7.85957e+07,7.06505e+07,7.33002e+07
79397689,2.38103e+08,1.8508e+08,8.54924e+07,7.92802e+07,7.4473e+07,7.97752e+07
81264932,2.24074e+08,1.9061e+08,8.7004e+07,8.17992e+07,7.33219e+07,7.80727e+07
77978379,2.45297e+08,1.93204e+08,8.7489e+07,7.95652e+07,6.86902e+07,7.96944e+07
83095322,2.26836e+08,1.91566e+08,8.82426e+07,8.50452e+07,7.27001e+07,8.90797e+07
79922186,2.31762e+08,1.8236e+08,8.76994e+07,7.78882e+07,6.83492e+07,7.42897e+07
76448781,2.25974e+08,1.98526e+08,8.67312e+07,7.99225e+07,7.293e+07,7.61135e+07
77921182,2.29758e+08,1.89127e+08,9.03615e+07,8.00675e+07,6.7792e+07,7.77049e+07
73104840,2.5113e+08,1.91095e+08,8.65777e+07,7.83035e+07,6.84385e+07,8.04061e+07
75299852,2.35583e+08,1.89778e+08,8.77902e+07,1.02446e+08,7.16335e+07,7.79484e+07
74288772,2.29578e+08,1.86449e+08,9.63327e+07,8.11385e+07,6.916e+07,7.57231e+07
76223825,2.28791e+08,1.80698e+08,8.53763e+07,8.17286e+07,6.79644e+07,7.87501e+07
78214745,2.25305e+08,1.87691e+08,8.6469e+07,7.92817e+07,7.18637e+07,8.41169e+07
76190918,2.2401e+08,1.82921e+08,8.48142e+07,8.69815e+07,6.79622e+07,7.97902e+07
73853317,2.33334e+08,1.89746e+08,8.68294e+07,8.03688e+07,7.2655e+07,9.12094e+07
160660209,2.52055e+08,1.82177e+08,9.19542e+07,7.73168e+07,7.07046e+07,9.31032e+07
81613302,2.34124e+08,1.90811e+08,9.00015e+07,7.69763e+07,6.90202e+07,8.13918e+07
74736137,2.23025e+08,1.89613e+08,8.82893e+07,7.90878e+07,7.01437e+07,7.91648e+07
73914628,2.26231e+08,1.84429e+08,8.71832e+07,7.97501e+07,6.95458e+07,8.35182e+07
78556132,2.40132e+08,1.82123e+08,9.55257e+07,7.85109e+07,6.84198e+07,7.58022e+07
74837630,2.238e+08,1.81998e+08,9.16512e+07,1.03067e+08,6.84368e+07,7.69275e+07
78484393,2.2937e+08,1.85777e+08,8.82867e+07,8.02123e+07,6.98813e+07,7.65119e+07
74658434,2.27879e+08,1.90483e+08,8.77064e+07,8.10512e+07,6.83393e+07,7.81492e+07
72875413,2.39158e+08,1.84501e+08,8.77443e+07,7.93253e+07,6.80718e+07,8.12351e+07
74303326,2.23109e+08,1.95952e+08,8.71353e+07,8.30088e+07,6.89373e+07,7.8899e+07
75492309,2.28051e+08,1.84384e+08,8.73128e+07,8.2619e+07,7.94091e+07,7.96151e+07
73426586,2.27642e+08,1.75971e+08,8.55184e+07,8.00149e+07,6.8174e+07,7.99278e+07
75248206,2.30356e+08,1.77273e+08,8.53985e+07,8.08689e+07,6.95058e+07,8.06979e+07
73136078,2.27476e+08,1.8768e+08,8.58183e+07,8.02588e+07,6.81465e+07,7.60884e+07
79733433,2.92268e+08,2.27677e+08,9.97848e+07,1.14416e+08,6.86038e+07,7.9154e+07
76309904,2.48004e+08,1.80695e+08,8.5549e+07,8.14864e+07,6.92649e+07,7.99163e+07
77884694,2.77237e+08,1.81628e+08,8.47259e+07,1.09728e+08,7.93101e+07,7.39502e+07
78255402,2.81392e+08,1.96216e+08,1.24734e+08,8.08797e+07,7.58663e+07,7.64638e+07
73251098,2.27594e+08,1.85057e+08,9.16827e+07,8.29105e+07,6.9827e+07,7.62261e+07
79123183,2.60594e+08,2.08343e+08,9.65961e+07,9.25947e+07,8.08e+07,1.06764e+08
121690466,2.9013e+08,2.21484e+08,1.38755e+08,1.10416e+08,1.24363e+08,8.18324e+07
83502631,2.72576e+08,2.12786e+08,9.64886e+07,1.02547e+08,9.11248e+07,1.15881e+08
102629787,3.32824e+08,2.2034e+08,1.13179e+08,1.06546e+08,6.80731e+07,8.95105e+07
74035134,2.68274e+08,2.45979e+08,1.31353e+08,1.256e+08,7.70076e+07,9.04351e+07
85378461,2.89338e+08,2.23328e+08,1.00509e+08,8.60636e+07,6.90923e+07,7.47949e+07
94852972,2.89324e+08,2.23458e+08,1.14785e+08,9.35859e+07,7.09366e+07,7.76604e+07
82373455,2.63967e+08,2.17576e+08,1.21349e+08,9.94231e+07,6.91983e+07,7.91487e+07
78634025,2.98605e+08,1.97551e+08,8.77141e+07,7.90514e+07,8.70256e+07,1.26184e+08
118303097,2.94392e+08,2.28666e+08,8.87705e+07,1.01462e+08,7.76201e+07,9.07721e+07
87218780,2.96223e+08,2.04492e+08,8.50539e+07,1.03088e+08,7.01128e+07,1.10526e+08
75635988,2.51236e+08,2.66691e+08,8.65205e+07,8.07864e+07,7.19855e+07,8.85364e+07
93562207,2.88961e+08,2.37495e+08,1.11873e+08,8.03098e+07,8.28051e+07,7.3802e+07
89103209,2.54021e+08,2.10744e+08,1.12799e+08,1.06388e+08,7.12421e+07,7.86663e+07
108646770,3.0628e+08,2.25216e+08,1.0959e+08,1.16558e+08,8.20327e+07,8.03023e+07
111670303,2.77998e+08,2.02638e+08,8.84602e+07,9.03684e+07,1.01545e+08,9.33434e+07
76945158,2.68907e+08,2.04927e+08,1.02021e+08,7.81376e+07,7.89666e+07,9.52662e+07
81490898,2.4426e+08,2.33829e+08,1.04909e+08,8.4794e+07,1.07706e+08,1.31406e+08
82575034,2.418e+08,2.18252e+08,9.28486e+07,7.74365e+07,7.76702e+07,8.32362e+07
109827006,3.09551e+08,1.99888e+08,9.33072e+07,1.09087e+08,9.26439e+07,9.26017e+07
101534002,2.84119e+08,1.91346e+08,9.43036e+07,1.04081e+08,8.86172e+07,7.55596e+07
114705390,3.42343e+08,1.94667e+08,1.13676e+08,7.78197e+07,6.8021e+07,9.92937e+07
123893932,2.89614e+08,2.19382e+08,1.28587e+08,1.35195e+08,1.24579e+08,1.1217e+08
88336190,2.91387e+08,2.29199e+08,1.0272e+08,8.54725e+07,7.62398e+07,8.40179e+07
96648350,2.51913e+08,1.99849e+08,1.46341e+08,8.64663e+07,8.86332e+07,9.4453e+07
85348020,3.15676e+08,1.86793e+08,1.29754e+08,9.90088e+07,7.45158e+07,7.34867e+07
77474626,3.19664e+08,2.28218e+08,8.68719e+07,8.53107e+07,7.6876e+07,8.34013e+07
78836660,2.98501e+08,2.33047e+08,1.1862e+08,8.82675e+07,7.40879e+07,9.99237e+07
109285900,2.66582e+08,2.17253e+08,1.1539e+08,1.31409e+08,7.42099e+07,9.91676e+07
86245457,2.40654e+08,2.12484e+08,1.16689e+08,7.74833e+07,9.35527e+07,8.96145e+07
73457860,2.81475e+08,1.98755e+08,1.05495e+08,9.40661e+07,7.11127e+07,7.44045e+07
80181684,2.27755e+08,2.01677e+08,8.49242e+07,7.77235e+07,7.11017e+07,7.36363e+07
79161589,2.27629e+08,1.83463e+08,9.21234e+07,8.24909e+07,7.46531e+07,7.46001e+07
86025932,2.27692e+08,1.83942e+08,8.6286e+07,8.12985e+07,7.55651e+07,8.16719e+07
